,Date,Route,Attempted,Succeeded,Success Percentage,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Wind Direction AVG
0,2015-11-27,Disappointment Cleaver,2,0,0.0,26.32166667,19.715,27.83958333,68.00416667
1,2015-11-21,Disappointment Cleaver,3,0,0.0,31.3,21.69070833,2.245833333,117.5496667
2,2015-10-15,Disappointment Cleaver,2,0,0.0,46.44791667,27.21125,17.163625,259.121375
3,2015-10-13,Little Tahoma,8,0,0.0,40.97958333,28.33570833,19.59116667,279.7791667
4,2015-10-09,Disappointment Cleaver,2,0,0.0,38.26041667,74.32916667,65.13833333,264.6875
5,2015-10-03,Disappointment Cleaver,10,0,0.0,31.82291667,62.33708333,13.12504167,153.9316667
6,2015-10-03,Disappointment Cleaver,2,0,0.0,31.82291667,62.33708333,13.12504167,153.9316667
7,2015-10-02,Kautz Glacier,2,0,0.0,36.06416667,47.017375,6.445916667,247.3183333
8,2015-10-02,Disappointment Cleaver,2,0,0.0,36.06416667,47.017375,6.445916667,247.3183333
9,2015-09-30,Disappointment Cleaver,2,0,0.0,38.72958333,57.36958333,11.30075,216.9341667
10,2015-09-28,Disappointment Cleaver,12,4,0.333333333,38.33541667,27.02541667,17.11520833,270.8666667
11,2015-09-27,Disappointment Cleaver,12,6,0.5,35.105,23.76833333,4.557083333,188.2135833
12,2015-09-26,Disappointment Cleaver,2,0,0.0,27.32208333,59.46991667,15.73075,216.3425
13,2015-09-26,Disappointment Cleaver,12,3,0.25,27.32208333,59.46991667,15.73075,216.3425
14,2015-09-26,Disappointment Cleaver,3,0,0.0,27.32208333,59.46991667,15.73075,216.3425
15,2015-09-25,Disappointment Cleaver,12,9,0.75,32.39041667,95.30583333,61.3875,261.0333333
16,2015-09-25,Disappointment Cleaver,11,6,0.545454545,32.39041667,95.30583333,61.3875,261.0333333
17,2015-09-24,Disappointment Cleaver,10,0,0.0,36.09958333,60.97875,51.61083333,265.4166667
18,2015-09-24,Disappointment Cleaver,11,1,0.090909091,36.09958333,60.97875,51.61083333,265.4166667
19,2015-09-23,Disappointment Cleaver,12,0,0.0,30.87583333,70.45,35.44875,263.3833333
20,2015-09-22,Disappointment Cleaver,3,0,0.0,34.56541667,21.985,22.35341667,247.15875
21,2015-09-21,Disappointment Cleaver,2,0,0.0,37.40666667,17.20541667,13.77908333,149.3954167
22,2015-09-21,Disappointment Cleaver,2,0,0.0,37.40666667,17.20541667,13.77908333,149.3954167
23,2015-09-21,Disappointment Cleaver,11,0,0.0,37.40666667,17.20541667,13.77908333,149.3954167
24,2015-09-21,Disappointment Cleaver,8,0,0.0,37.40666667,17.20541667,13.77908333,149.3954167
25,2015-09-21,Disappointment Cleaver,10,9,0.9,37.40666667,17.20541667,13.77908333,149.3954167
26,2015-09-20,Disappointment Cleaver,3,0,0.0,37.6425,68.0775,31.28666667,40.02583333
27,2015-09-20,Disappointment Cleaver,12,7,0.583333333,37.6425,68.0775,31.28666667,40.02583333
28,2015-09-20,Disappointment Cleaver,12,0,0.0,37.6425,68.0775,31.28666667,40.02583333
29,2015-09-20,Disappointment Cleaver,11,0,0.0,37.6425,68.0775,31.28666667,40.02583333
30,2015-09-19,Disappointment Cleaver,12,0,0.0,40.44916667,63.53708333,7.953916667,34.0375
31,2015-09-19,Disappointment Cleaver,2,0,0.0,40.44916667,63.53708333,7.953916667,34.0375
32,2015-09-19,Disappointment Cleaver,12,0,0.0,40.44916667,63.53708333,7.953916667,34.0375
33,2015-09-19,Disappointment Cleaver,11,0,0.0,40.44916667,63.53708333,7.953916667,34.0375
34,2015-09-18,Disappointment Cleaver,12,0,0.0,34.73375,52.70166667,6.354375,30.35875
35,2015-09-18,Disappointment Cleaver,11,0,0.0,34.73375,52.70166667,6.354375,30.35875
36,2015-09-18,Disappointment Cleaver,12,0,0.0,34.73375,52.70166667,6.354375,30.35875
37,2015-09-18,Disappointment Cleaver,2,0,0.0,34.73375,52.70166667,6.354375,30.35875
38,2015-09-18,Disappointment Cleaver,2,0,0.0,34.73375,52.70166667,6.354375,30.35875
39,2015-09-17,Disappointment Cleaver,12,0,0.0,26.44208333,85.25291667,9.367166667,28.55166667
40,2015-09-16,Disappointment Cleaver,12,0,0.0,22.08,98.65,15.922375,17.27916667
41,2015-09-15,Disappointment Cleaver,9,0,0.0,19.81375,54.48041667,7.827708333,13.49
42,2015-09-14,Disappointment Cleaver,8,7,0.875,23.02125,60.216125,11.10675,13.96916667
43,2015-09-14,Disappointment Cleaver,12,12,1.0,23.02125,60.216125,11.10675,13.96916667
44,2015-09-14,Disappointment Cleaver,2,2,1.0,23.02125,60.216125,11.10675,13.96916667
45,2015-09-14,Disappointment Cleaver,3,3,1.0,23.02125,60.216125,11.10675,13.96916667
46,2015-09-14,Disappointment Cleaver,2,2,1.0,23.02125,60.216125,11.10675,13.96916667
47,2015-09-13,Disappointment Cleaver,2,0,0.0,42.59166667,17.42758333,14.43820833,20.535
48,2015-09-13,Disappointment Cleaver,12,0,0.0,42.59166667,17.42758333,14.43820833,20.535
49,2015-09-13,Disappointment Cleaver,12,0,0.0,42.59166667,17.42758333,14.43820833,20.535
50,2015-09-13,Disappointment Cleaver,11,0,0.0,42.59166667,17.42758333,14.43820833,20.535
51,2015-09-12,Disappointment Cleaver,2,0,0.0,51.76,27.91541667,19.81575,220.86625
52,2015-09-12,Disappointment Cleaver,11,0,0.0,51.76,27.91541667,19.81575,220.86625
53,2015-09-12,Disappointment Cleaver,11,0,0.0,51.76,27.91541667,19.81575,220.86625
54,2015-09-12,Disappointment Cleaver,2,0,0.0,51.76,27.91541667,19.81575,220.86625
55,2015-09-12,Disappointment Cleaver,2,0,0.0,51.76,27.91541667,19.81575,220.86625
56,2015-09-12,Disappointment Cleaver,2,2,1.0,51.76,27.91541667,19.81575,220.86625
57,2015-09-12,Disappointment Cleaver,1,0,0.0,51.76,27.91541667,19.81575,220.86625
58,2015-09-12,Disappointment Cleaver,12,11,0.916666667,51.76,27.91541667,19.81575,220.86625
59,2015-09-11,Disappointment Cleaver,3,0,0.0,52.30416667,18.9025,12.39225,278.9
60,2015-09-11,Disappointment Cleaver,12,4,0.333333333,52.30416667,18.9025,12.39225,278.9
61,2015-09-11,Disappointment Cleaver,12,4,0.333333333,52.30416667,18.9025,12.39225,278.9
62,2015-09-11,Disappointment Cleaver,12,0,0.0,52.30416667,18.9025,12.39225,278.9
63,2015-09-11,Disappointment Cleaver,1,0,0.0,52.30416667,18.9025,12.39225,278.9
64,2015-09-11,Disappointment Cleaver,4,0,0.0,52.30416667,18.9025,12.39225,278.9
65,2015-09-11,Disappointment Cleaver,6,0,0.0,52.30416667,18.9025,12.39225,278.9
66,2015-09-11,Disappointment Cleaver,2,2,1.0,52.30416667,18.9025,12.39225,278.9
67,2015-09-11,Disappointment Cleaver,2,0,0.0,52.30416667,18.9025,12.39225,278.9
68,2015-09-10,Disappointment Cleaver,12,0,0.0,53.10583333,15.78708333,2.488416667,140.1174583
69,2015-09-10,Disappointment Cleaver,2,2,1.0,53.10583333,15.78708333,2.488416667,140.1174583
70,2015-09-09,Disappointment Cleaver,2,2,1.0,47.29416667,25.0825,7.66225,208.8008333
71,2015-09-09,Disappointment Cleaver,2,0,0.0,47.29416667,25.0825,7.66225,208.8008333
72,2015-09-09,Disappointment Cleaver,12,10,0.833333333,47.29416667,25.0825,7.66225,208.8008333
73,2015-09-08,Disappointment Cleaver,2,0,0.0,43.75958333,40.11041667,7.346541667,200.0033333
74,2015-09-07,Disappointment Cleaver,2,0,0.0,35.25291667,48.96291667,3.89525,235.4966667
75,2015-09-07,Disappointment Cleaver,3,0,0.0,35.25291667,48.96291667,3.89525,235.4966667
76,2015-09-07,Disappointment Cleaver,12,5,0.416666667,35.25291667,48.96291667,3.89525,235.4966667
77,2015-09-07,Disappointment Cleaver,8,4,0.5,35.25291667,48.96291667,3.89525,235.4966667
78,2015-09-07,Disappointment Cleaver,11,0,0.0,35.25291667,48.96291667,3.89525,235.4966667
79,2015-09-07,Disappointment Cleaver,11,9,0.818181818,35.25291667,48.96291667,3.89525,235.4966667
80,2015-09-06,Disappointment Cleaver,12,0,0.0,28.99416667,74.715,11.76808333,213.9854167
81,2015-09-06,Disappointment Cleaver,11,0,0.0,28.99416667,74.715,11.76808333,213.9854167
82,2015-09-06,Disappointment Cleaver,12,0,0.0,28.99416667,74.715,11.76808333,213.9854167
83,2015-09-05,Disappointment Cleaver,3,0,0.0,24.97708333,74.395,4.64325,221.5945833
84,2015-09-05,Emmons-Winthrop,5,0,0.0,24.97708333,74.395,4.64325,221.5945833
85,2015-09-05,Disappointment Cleaver,2,0,0.0,24.97708333,74.395,4.64325,221.5945833
86,2015-09-05,Disappointment Cleaver,3,0,0.0,24.97708333,74.395,4.64325,221.5945833
87,2015-09-05,Disappointment Cleaver,12,0,0.0,24.97708333,74.395,4.64325,221.5945833
88,2015-09-05,Disappointment Cleaver,2,0,0.0,24.97708333,74.395,4.64325,221.5945833
89,2015-09-05,Disappointment Cleaver,4,0,0.0,24.97708333,74.395,4.64325,221.5945833
90,2015-09-05,Disappointment Cleaver,12,0,0.0,24.97708333,74.395,4.64325,221.5945833
91,2015-09-05,Disappointment Cleaver,11,0,0.0,24.97708333,74.395,4.64325,221.5945833
92,2015-09-05,Disappointment Cleaver,2,0,0.0,24.97708333,74.395,4.64325,221.5945833
93,2015-09-04,Disappointment Cleaver,3,0,0.0,21.42833333,90.97875,5.825083333,173.5691667
94,2015-09-04,Disappointment Cleaver,12,0,0.0,21.42833333,90.97875,5.825083333,173.5691667
95,2015-09-04,Disappointment Cleaver,12,0,0.0,21.42833333,90.97875,5.825083333,173.5691667
96,2015-09-04,Disappointment Cleaver,12,0,0.0,21.42833333,90.97875,5.825083333,173.5691667
97,2015-09-04,Disappointment Cleaver,2,0,0.0,21.42833333,90.97875,5.825083333,173.5691667
98,2015-09-04,Disappointment Cleaver,2,0,0.0,21.42833333,90.97875,5.825083333,173.5691667
99,2015-09-03,Disappointment Cleaver,2,0,0.0,20.42208333,90.81,8.345,195.80375
100,2015-09-03,Disappointment Cleaver,3,0,0.0,20.42208333,90.81,8.345,195.80375
101,2015-09-03,Disappointment Cleaver,11,0,0.0,20.42208333,90.81,8.345,195.80375
102,2015-09-03,Disappointment Cleaver,11,0,0.0,20.42208333,90.81,8.345,195.80375
103,2015-09-03,Disappointment Cleaver,12,0,0.0,20.42208333,90.81,8.345,195.80375
104,2015-09-02,Disappointment Cleaver,8,0,0.0,22.40041667,91.62541667,23.27375,188.1208333
105,2015-09-02,Disappointment Cleaver,12,0,0.0,22.40041667,91.62541667,23.27375,188.1208333
106,2015-09-02,Disappointment Cleaver,12,0,0.0,22.40041667,91.62541667,23.27375,188.1208333
107,2015-09-01,Disappointment Cleaver,12,0,0.0,32.07875,66.61916667,33.07875,238.1875
108,2015-09-01,Disappointment Cleaver,10,0,0.0,32.07875,66.61916667,33.07875,238.1875
109,2015-09-01,Disappointment Cleaver,12,0,0.0,32.07875,66.61916667,33.07875,238.1875
110,2015-09-01,Disappointment Cleaver,12,0,0.0,32.07875,66.61916667,33.07875,238.1875
111,2015-08-31,Disappointment Cleaver,12,0,0.0,32.31,100.0,25.74,234.5
112,2015-08-31,Disappointment Cleaver,12,0,0.0,32.31,100.0,25.74,234.5
113,2015-08-31,Disappointment Cleaver,12,0,0.0,32.31,100.0,25.74,234.5
117,2015-08-29,Disappointment Cleaver,12,0,0.0,30.81956522,96.96086957,18.22691304,58.79304348
118,2015-08-29,Disappointment Cleaver,11,0,0.0,30.81956522,96.96086957,18.22691304,58.79304348
119,2015-08-28,Disappointment Cleaver,11,0,0.0,36.16208333,91.36375,64.10625,40.25666667
120,2015-08-28,Disappointment Cleaver,11,0,0.0,36.16208333,91.36375,64.10625,40.25666667
121,2015-08-28,Disappointment Cleaver,3,0,0.0,36.16208333,91.36375,64.10625,40.25666667
122,2015-08-27,Disappointment Cleaver,12,0,0.0,40.64875,66.89916667,38.68416667,21.47416667
123,2015-08-27,Disappointment Cleaver,12,0,0.0,40.64875,66.89916667,38.68416667,21.47416667
124,2015-08-27,Disappointment Cleaver,10,0,0.0,40.64875,66.89916667,38.68416667,21.47416667
125,2015-08-26,Disappointment Cleaver,12,7,0.583333333,41.95083333,54.23375,35.89916667,22.13458333
126,2015-08-26,Disappointment Cleaver,3,3,1.0,41.95083333,54.23375,35.89916667,22.13458333
127,2015-08-26,Disappointment Cleaver,2,2,1.0,41.95083333,54.23375,35.89916667,22.13458333
128,2015-08-26,Disappointment Cleaver,6,6,1.0,41.95083333,54.23375,35.89916667,22.13458333
129,2015-08-26,Disappointment Cleaver,9,3,0.333333333,41.95083333,54.23375,35.89916667,22.13458333
130,2015-08-26,Disappointment Cleaver,9,5,0.555555556,41.95083333,54.23375,35.89916667,22.13458333
131,2015-08-26,Disappointment Cleaver,12,0,0.0,41.95083333,54.23375,35.89916667,22.13458333
132,2015-08-26,Emmons-Winthrop,2,1,0.5,41.95083333,54.23375,35.89916667,22.13458333
134,2015-08-26,Disappointment Cleaver,2,2,1.0,41.95083333,54.23375,35.89916667,22.13458333
135,2015-08-26,Disappointment Cleaver,12,0,0.0,41.95083333,54.23375,35.89916667,22.13458333
136,2015-08-26,Disappointment Cleaver,2,0,0.0,41.95083333,54.23375,35.89916667,22.13458333
137,2015-08-25,Disappointment Cleaver,2,2,1.0,42.415,26.72666667,24.9475,19.63125
138,2015-08-25,Disappointment Cleaver,6,0,0.0,42.415,26.72666667,24.9475,19.63125
139,2015-08-25,Disappointment Cleaver,12,4,0.333333333,42.415,26.72666667,24.9475,19.63125
140,2015-08-25,Disappointment Cleaver,12,7,0.583333333,42.415,26.72666667,24.9475,19.63125
141,2015-08-24,Disappointment Cleaver,2,2,1.0,43.36666667,22.565875,22.82541667,17.94333333
142,2015-08-24,Disappointment Cleaver,10,7,0.7,43.36666667,22.565875,22.82541667,17.94333333
143,2015-08-24,Disappointment Cleaver,11,9,0.818181818,43.36666667,22.565875,22.82541667,17.94333333
144,2015-08-24,Disappointment Cleaver,3,3,1.0,43.36666667,22.565875,22.82541667,17.94333333
145,2015-08-24,Disappointment Cleaver,12,9,0.75,43.36666667,22.565875,22.82541667,17.94333333
146,2015-08-23,Disappointment Cleaver,5,0,0.0,44.68791667,26.80133333,24.80958333,17.51666667
147,2015-08-23,Disappointment Cleaver,12,9,0.75,44.68791667,26.80133333,24.80958333,17.51666667
148,2015-08-23,Disappointment Cleaver,12,4,0.333333333,44.68791667,26.80133333,24.80958333,17.51666667
149,2015-08-23,Disappointment Cleaver,6,4,0.666666667,44.68791667,26.80133333,24.80958333,17.51666667
